ORDERNUMBER,QUANTITYORDERED,PRICEEACH,ORDERLINENUMBER,SALES,ORDERDATE,STATUS,QTR_ID,MONTH_ID,YEAR_ID,PRODUCTLINE,MSRP,PRODUCTCODE,CATEGORY,SUBCATEGORY,CUSTOMERNAME,PHONE,ADDRESSLINE1,ADDRESSLINE2,CITY,STATE,POSTALCODE,COUNTRY,TERRITORY,CONTACTLASTNAME,CONTACTFIRSTNAME,DEALSIZE
10263,34,100,2,3676.76,38166,Shipped,2,6,2004,Motorcycles,95,S10_1678,Furniture,Cabinet,Gift Depot Inc.,2035552570,25593 South Bay Ln.,,Bridgewater,CT,97562,USA,NA,King,Julie,Medium
10275,45,92.83,1,4177.35,38191,Shipped,3,7,2004,Motorcycles,95,S10_1678,Furniture,Cabinet,La Rochelle Gifts,40.67.8555,"67, rue des Cinquante Otages",,Nantes,,44000,France,EMEA,Labrune,Janine,Medium
10285,36,100,6,4099.68,38226,Shipped,3,8,2004,Motorcycles,95,S10_1678,Furniture,Cabinet,Marta's Replicas Co.,6175558555,39323 Spinnaker Dr.,,Cambridge,MA,51247,USA,NA,Hernandez,Marta,Medium
10299,23,100,9,2597.39,38260,Shipped,3,9,2004,Motorcycles,95,S10_1678,Furniture,Cabinet,"Toys of Finland, Co.",90-224 8555,Keskuskatu 45,,Helsinki,,21240,Finland,EMEA,Karttunen,Matti,Small
10309,41,100,5,4394.38,38275,Shipped,4,10,2004,Motorcycles,95,S10_1678,Furniture,Cabinet,Baane Mini Imports,07-98 9555,Erling Skakkes gate 78,,Stavern,,4110,Norway,EMEA,Bergulfsen,Jonas,Medium
10318,46,94.74,1,4358.04,38293,Shipped,4,11,2004,Motorcycles,95,S10_1678,Furniture,Cabinet,Diecast Classics Inc.,2155551555,7586 Pompton St.,,Allentown,PA,70267,USA,NA,Yu,Kyung,Medium
10329,42,100,1,4396.14,38306,Shipped,4,11,2004,Motorcycles,95,S10_1678,Furniture,Cabinet,Land of Toys Inc.,2125557818,897 Long Airport Avenue,,NYC,NY,10022,USA,NA,Yu,Kwai,Medium
10341,41,100,9,7737.93,38315,Shipped,4,11,2004,Motorcycles,95,S10_1678,Furniture,Cabinet,Salzburg Collectables,6562-9555,Geislweg 14,,Salzburg,,5020,Austria,EMEA,Pipps,Georg,Large
10361,20,72.55,13,1451,38338,Shipped,4,12,2004,Motorcycles,95,S10_1678,Furniture,Cabinet,Souveniers And Things Co.,+61 2 9495 8555,"Monitor Money Building, 815 Pacific Hwy",Level 6,Chatswood,NSW,2067,Australia,APAC,Huxley,Adrian,Small
10375,21,34.91,12,733.11,38386,Shipped,1,2,2005,Motorcycles,95,S10_1678,Furniture,Cabinet,La Rochelle Gifts,40.67.8555,"67, rue des Cinquante Otages",,Nantes,,44000,France,EMEA,Labrune,Janine,Small
10388,42,76.36,4,3207.12,38414,Shipped,1,3,2005,Motorcycles,95,S10_1678,Furniture,Cabinet,FunGiftIdeas.com,5085552555,1785 First Street,,New Bedford,MA,50553,USA,NA,Benitez,Violeta,Medium
10403,24,100,7,2434.56,38450,Shipped,2,4,2005,Motorcycles,95,S10_1678,Furniture,Cabinet,"UK Collectables, Ltd.",(171) 555-2282,Berkeley Gardens 12  Brewery,,Liverpool,,WX1 6LT,UK,EMEA,Devon,Elizabeth,Small
10417,66,100,2,7516.08,38485,Disputed,2,5,2005,Motorcycles,95,S10_1678,Furniture,Cabinet,Euro Shopping Channel,(91) 555 94 44,"C/ Moralzarzal, 86",,Madrid,,28034,Spain,EMEA,Freyre,Diego,Large
10103,26,100,11,5404.62,37650,Shipped,1,1,2003,Classic Cars,214,S10_1949,Furniture,Desk,Baane Mini Imports,07-98 9555,Erling Skakkes gate 78,,Stavern,,4110,Norway,EMEA,Bergulfsen,Jonas,Medium
10112,29,100,1,7209.11,37704,Shipped,1,3,2003,Classic Cars,214,S10_1949,Furniture,Desk,"Volvo Model Replicas, Co",0921-12 3555,Berguvsv„gen  8,,Lule,,S-958 22,Sweden,EMEA,Berglund,Christina,Large
10126,38,100,11,7329.06,37769,Shipped,2,5,2003,Classic Cars,214,S10_1949,Furniture,Desk,"Corrida Auto Replicas, Ltd",(91) 555 22 82,"C/ Araquil, 67",,Madrid,,28023,Spain,EMEA,Sommer,Mart¡n,Large
10140,37,100,11,7374.1,37826,Shipped,3,7,2003,Classic Cars,214,S10_1949,Furniture,Desk,Technics Stores Inc.,6505556809,9408 Furth Circle,,Burlingame,CA,94217,USA,NA,Hirano,Juri,Large
10150,45,100,8,10993.5,37883,Shipped,3,9,2003,Classic Cars,214,S10_1949,Furniture,Desk,"Dragon Souveniers, Ltd.",+65 221 7555,"Bronz Sok., Bronz Apt. 3/6 Tesvikiye",,Singapore,,79903,Singapore,Japan,Natividad,Eric,Large
10163,21,100,1,4860.24,37914,Shipped,4,10,2003,Classic Cars,214,S10_1949,Furniture,Desk,Classic Legends Inc.,2125558493,5905 Pompton St.,Suite 750,NYC,NY,10022,USA,NA,Hernandez,Maria,Medium
10174,34,100,4,8014.82,37931,Shipped,4,11,2003,Classic Cars,214,S10_1949,Furniture,Desk,"Australian Gift Network, Co",61-7-3844-6555,31 Duncan St. West End,,South Brisbane,Queensland,4101,Australia,APAC,Calaghan,Tony,Large
10183,23,100,8,5372.57,37938,Shipped,4,11,2003,Classic Cars,214,S10_1949,Furniture,Desk,"Classic Gift Ideas, Inc",2155554695,782 First Street,,Philadelphia,PA,71270,USA,NA,Cervantes,Francisca,Medium
10194,42,100,11,7290.36,37950,Shipped,4,11,2003,Classic Cars,214,S10_1949,Furniture,Desk,"Saveley & Henriot, Co.",78.32.5555,"2, rue du Commerce",,Lyon,,69004,France,EMEA,Saveley,Mary,Large
10206,47,100,6,9064.89,37960,Shipped,4,12,2003,Classic Cars,214,S10_1949,Furniture,Desk,Canadian Gift Exchange Network,(604) 555-3392,1900 Oak St.,,Vancouver,BC,V3F 2K1,Canada,NA,Tannamuri,Yoshi,Large
10215,35,100,3,6075.3,38015,Shipped,1,1,2004,Classic Cars,214,S10_1949,Furniture,Desk,West Coast Collectables Co.,3105553722,3675 Furth Circle,,Burbank,CA,94019,USA,NA,Thompson,Steve,Medium
10228,29,100,2,6463.23,38056,Shipped,1,3,2004,Classic Cars,214,S10_1949,Furniture,Desk,Cambridge Collectables Co.,6175555555,4658 Baden Av.,,Cambridge,MA,51247,USA,NA,Tseng,Kyung,Medium
10245,34,100,9,6120.34,38111,Shipped,2,5,2004,Classic Cars,214,S10_1949,Furniture,Desk,Super Scale Inc.,2035559545,567 North Pendale Street,,New Haven,CT,97823,USA,NA,Murphy,Leslie,Medium
10258,32,100,6,7680.64,38153,Shipped,2,6,2004,Classic Cars,214,S10_1949,Furniture,Desk,"Tokyo Collectables, Ltd",+81 3 3584 0555,2-2-8 Roppongi,,Minato-ku,Tokyo,106-0032,Japan,Japan,Shimamura,Akiko,Large
10270,21,100,9,4905.39,38187,Shipped,3,7,2004,Classic Cars,214,S10_1949,Furniture,Desk,Souveniers And Things Co.,+61 2 9495 8555,"Monitor Money Building, 815 Pacific Hwy",Level 6,Chatswood,NSW,2067,Australia,APAC,Huxley,Adrian,Medium
10280,34,100,2,8014.82,38216,Shipped,3,8,2004,Classic Cars,214,S10_1949,Furniture,Desk,Amica Models & Co.,011-4988555,Via Monte Bianco 34,,Torino,,10100,Italy,EMEA,Accorti,Paolo,Large
10291,37,100,11,7136.19,38238,Shipped,3,9,2004,Classic Cars,214,S10_1949,Furniture,Desk,Scandinavian Gift Ideas,0695-34 6555,?kergatan 24,,Boras,,S-844 67,Sweden,EMEA,Larsson,Maria,Large
10304,47,100,6,10172.7,38271,Shipped,4,10,2004,Classic Cars,214,S10_1949,Furniture,Desk,Auto Assoc. & Cie.,30.59.8555,"67, avenue de l'Europe",,Versailles,,78000,France,EMEA,Tonini,Daniel,Large
10312,48,100,3,11623.7,38281,Shipped,4,10,2004,Classic Cars,214,S10_1949,Furniture,Desk,Mini Gifts Distributors Ltd.,4155551450,5677 Strong St.,,San Rafael,CA,97562,USA,NA,Nelson,Valarie,Large
10322,40,100,1,6000.4,38295,Shipped,4,11,2004,Classic Cars,214,S10_1949,Furniture,Desk,Online Diecast Creations Co.,6035558647,2304 Long Airport Avenue,,Nashua,NH,62005,USA,NA,Young,Valarie,Medium
10333,26,100,3,3003,38309,Shipped,4,11,2004,Classic Cars,214,S10_1949,Furniture,Desk,Mini Wheels Co.,6505555787,5557 North Pendale Street,,San Francisco,CA,,USA,NA,Murphy,Julie,Medium
10347,30,100,1,3944.7,38320,Shipped,4,11,2004,Classic Cars,214,S10_1949,Furniture,Desk,"Australian Collectors, Co.",03 9520 4555,636 St Kilda Road,Level 3,Melbourne,Victoria,3004,Australia,APAC,Ferguson,Peter,Medium
10357,32,100,10,5691.84,38331,Shipped,4,12,2004,Classic Cars,214,S10_1949,Furniture,Desk,Mini Gifts Distributors Ltd.,4155551450,5677 Strong St.,,San Rafael,CA,97562,USA,NA,Nelson,Valarie,Medium
10369,41,100,2,4514.92,38372,Shipped,1,1,2005,Classic Cars,214,S10_1949,Furniture,Desk,Collectables For Less Inc.,6175558555,7825 Douglas Av.,,Brickhaven,MA,58339,USA,NA,Nelson,Allen,Medium
10381,36,100,3,8254.8,38400,Shipped,1,2,2005,Classic Cars,214,S10_1949,Furniture,Desk,Corporate Gift Ideas Co.,6505551386,7734 Strong St.,,San Francisco,CA,,USA,NA,Brown,Julie,Large
10391,24,100,4,2416.56,38420,Shipped,1,3,2005,Classic Cars,214,S10_1949,Furniture,Desk,"Anna's Decorations, Ltd",02 9936 8555,201 Miller Street,Level 15,North Sydney,NSW,2060,Australia,APAC,O'Hara,Anna,Small
10411,23,100,9,4140.23,38473,Shipped,2,5,2005,Classic Cars,214,S10_1949,Furniture,Desk,Quebec Home Shopping Network,(514) 555-8054,43 rue St. Laurent,,Montreal,Quebec,H1J 1C3,Canada,NA,Fresnisre,Jean,Medium
10424,50,100,6,12001,38503,In Process,2,5,2005,Classic Cars,214,S10_1949,Furniture,Desk,Euro Shopping Channel,(91) 555 94 44,"C/ Moralzarzal, 86",,Madrid,,28034,Spain,EMEA,Freyre,Diego,Large
10107,39,99.91,5,3896.49,37676,Shipped,1,2,2003,Motorcycles,118,S10_2016,Furniture,Chair,Land of Toys Inc.,2125557818,897 Long Airport Avenue,,NYC,NY,10022,USA,NA,Yu,Kwai,Medium
10120,29,96.34,3,2793.86,37740,Shipped,2,4,2003,Motorcycles,118,S10_2016,Furniture,Chair,"Australian Collectors, Co.",03 9520 4555,636 St Kilda Road,Level 3,Melbourne,Victoria,3004,Australia,APAC,Ferguson,Peter,Small
10134,27,100,5,3307.77,37803,Shipped,3,7,2003,Motorcycles,118,S10_2016,Furniture,Chair,Lyon Souveniers,+33 1 46 62 7555,27 rue du Colonel Pierre Avia,,Paris,,75508,France,EMEA,Da Cunha,Daniel,Medium
10145,37,100,9,5192.95,37858,Shipped,3,8,2003,Motorcycles,118,S10_2016,Furniture,Chair,Toys4GrownUps.com,6265557265,78934 Hillside Dr.,,Pasadena,CA,90003,USA,NA,Young,Julie,Medium
10159,37,100,17,5016.83,37904,Shipped,4,10,2003,Motorcycles,118,S10_2016,Furniture,Chair,Corporate Gift Ideas Co.,6505551386,7734 Strong St.,,San Francisco,CA,,USA,NA,Brown,Julie,Medium
10168,27,100,4,3660.93,37922,Shipped,4,10,2003,Motorcycles,118,S10_2016,Furniture,Chair,Technics Stores Inc.,6505556809,9408 Furth Circle,,Burlingame,CA,94217,USA,NA,Hirano,Juri,Medium
10180,42,100,12,4695.6,37936,Shipped,4,11,2003,Motorcycles,118,S10_2016,Furniture,Chair,Daedalus Designs Imports,20.16.1555,"184, chausse de Tournai",,Lille,,59000,France,EMEA,Rance,Martine,Medium
10188,38,96.34,4,3660.92,37943,Shipped,4,11,2003,Motorcycles,118,S10_2016,Furniture,Chair,Herkku Gifts,+47 2267 3215,"Drammen 121, PR 744 Sentrum",,Bergen,,N 5804,Norway,EMEA,Oeztan,Veysel,Medium
10201,24,100,5,3025.92,37956,Shipped,4,12,2003,Motorcycles,118,S10_2016,Furniture,Chair,Mini Wheels Co.,6505555787,5557 North Pendale Street,,San Francisco,CA,,USA,NA,Murphy,Julie,Medium
10210,23,100,2,3009.09,37998,Shipped,1,1,2004,Motorcycles,118,S10_2016,Furniture,Chair,Osaka Souveniers Co.,+81 06 6342 5555,"Dojima Avanza 4F, 1-6-20 Dojima, Kita-ku",,Osaka,Osaka,530-0003,Japan,Japan,Kentary,Mory,Medium
10223,47,100,4,5422.39,38037,Shipped,1,2,2004,Motorcycles,118,S10_2016,Furniture,Chair,"Australian Collectors, Co.",03 9520 4555,636 St Kilda Road,Level 3,Melbourne,Victoria,3004,Australia,APAC,Ferguson,Peter,Medium
10236,22,100,1,2852.08,38080,Shipped,2,4,2004,Motorcycles,118,S10_2016,Furniture,Chair,Motor Mint Distributors Inc.,2155559857,11328 Douglas Av.,,Philadelphia,PA,71270,USA,NA,Hernandez,Rosa,Small
10251,44,100,5,5756.52,38125,Shipped,2,5,2004,Motorcycles,118,S10_2016,Furniture,Chair,Tekni Collectables Inc.,2015559350,7476 Moss Rd.,,Newark,NJ,94019,USA,NA,Brown,William,Medium
10263,40,100,5,4472,38166,Shipped,2,6,2004,Motorcycles,118,S10_2016,Furniture,Chair,Gift Depot Inc.,2035552570,25593 South Bay Ln.,,Bridgewater,CT,97562,USA,NA,King,Julie,Medium
10275,22,100,4,2904.44,38191,Shipped,3,7,2004,Motorcycles,118,S10_2016,Furniture,Chair,La Rochelle Gifts,40.67.8555,"67, rue des Cinquante Otages",,Nantes,,44000,France,EMEA,Labrune,Janine,Small
10285,47,100,9,6484.59,38226,Shipped,3,8,2004,Motorcycles,118,S10_2016,Furniture,Chair,Marta's Replicas Co.,6175558555,39323 Spinnaker Dr.,,Cambridge,MA,51247,USA,NA,Hernandez,Marta,Medium
10298,39,96.34,1,3757.26,38257,Shipped,3,9,2004,Motorcycles,118,S10_2016,Furniture,Chair,Atelier graphique,40.32.2555,"54, rue Royale",,Nantes,,44000,France,EMEA,Schmitt,Carine,Medium
10308,34,100,2,4043.96,38275,Shipped,4,10,2004,Motorcycles,118,S10_2016,Furniture,Chair,Mini Classics,9145554562,3758 North Pendale Street,,White Plains,NY,24067,USA,NA,Frick,Steve,Medium
10318,45,100,4,5566.5,38293,Shipped,4,11,2004,Motorcycles,118,S10_2016,Furniture,Chair,Diecast Classics Inc.,2155551555,7586 Pompton St.,,Allentown,PA,70267,USA,NA,Yu,Kyung,Medium
10329,20,100,2,3176,38306,Shipped,4,11,2004,Motorcycles,118,S10_2016,Furniture,Chair,Land of Toys Inc.,2125557818,897 Long Airport Avenue,,NYC,NY,10022,USA,NA,Yu,Kwai,Medium
10339,40,68.92,4,2756.8,38314,Shipped,4,11,2004,Motorcycles,118,S10_2016,Furniture,Chair,"Tokyo Collectables, Ltd",+81 3 3584 0555,2-2-8 Roppongi,,Minato-ku,Tokyo,106-0032,Japan,Japan,Shimamura,Akiko,Small
10361,26,51.15,8,1329.9,38338,Shipped,4,12,2004,Motorcycles,118,S10_2016,Furniture,Chair,Souveniers And Things Co.,+61 2 9495 8555,"Monitor Money Building, 815 Pacific Hwy",Level 6,Chatswood,NSW,2067,Australia,APAC,Huxley,Adrian,Small
10374,39,100,5,5288.01,38385,Shipped,1,2,2005,Motorcycles,118,S10_2016,Furniture,Chair,"Australian Gift Network, Co",61-7-3844-6555,31 Duncan St. West End,,South Brisbane,Queensland,4101,Australia,APAC,Calaghan,Tony,Medium
10388,50,44.51,5,2225.5,38414,Shipped,1,3,2005,Motorcycles,118,S10_2016,Furniture,Chair,FunGiftIdeas.com,5085552555,1785 First Street,,New Bedford,MA,50553,USA,NA,Benitez,Violeta,Small
10402,45,100,1,5833.8,38449,Shipped,2,4,2005,Motorcycles,118,S10_2016,Furniture,Chair,Auto Canal Petit,(1) 47.55.6555,"25, rue Lauriston",,Paris,,75016,France,EMEA,Perrier,Dominique,Medium
10417,45,100,5,5887.35,38485,Disputed,2,5,2005,Motorcycles,118,S10_2016,Furniture,Chair,Euro Shopping Channel,(91) 555 94 44,"C/ Moralzarzal, 86",,Madrid,,28034,Spain,EMEA,Freyre,Diego,Medium
10107,27,100,4,6065.55,37676,Shipped,1,2,2003,Motorcycles,193,S10_4698,Furniture,Bookshelf,Land of Toys Inc.,2125557818,897 Long Airport Avenue,,NYC,NY,10022,USA,NA,Yu,Kwai,Medium
10120,46,100,2,9264.86,37740,Shipped,2,4,2003,Motorcycles,193,S10_4698,Furniture,Bookshelf,"Australian Collectors, Co.",03 9520 4555,636 St Kilda Road,Level 3,Melbourne,Victoria,3004,Australia,APAC,Ferguson,Peter,Large
10134,31,100,4,7023.98,37803,Shipped,3,7,2003,Motorcycles,193,S10_4698,Furniture,Bookshelf,Lyon Souveniers,+33 1 46 62 7555,27 rue du Colonel Pierre Avia,,Paris,,75508,France,EMEA,Da Cunha,Daniel,Large
10145,33,100,8,5176.38,37858,Shipped,3,8,2003,Motorcycles,193,S10_4698,Furniture,Bookshelf,Toys4GrownUps.com,6265557265,78934 Hillside Dr.,,Pasadena,CA,90003,USA,NA,Young,Julie,Medium
10159,22,100,16,4132.7,37904,Shipped,4,10,2003,Motorcycles,193,S10_4698,Furniture,Bookshelf,Corporate Gift Ideas Co.,6505551386,7734 Strong St.,,San Francisco,CA,,USA,NA,Brown,Julie,Medium
10168,20,100,3,4183,37922,Shipped,4,10,2003,Motorcycles,193,S10_4698,Furniture,Bookshelf,Technics Stores Inc.,6505556809,9408 Furth Circle,,Burlingame,CA,94217,USA,NA,Hirano,Juri,Medium
10180,41,100,11,8892.9,37936,Shipped,4,11,2003,Motorcycles,193,S10_4698,Furniture,Bookshelf,Daedalus Designs Imports,20.16.1555,"184, chausse de Tournai",,Lille,,59000,France,EMEA,Rance,Martine,Large
10188,45,100,3,8714.7,37943,Shipped,4,11,2003,Motorcycles,193,S10_4698,Furniture,Bookshelf,Herkku Gifts,+47 2267 3215,"Drammen 121, PR 744 Sentrum",,Bergen,,N 5804,Norway,EMEA,Oeztan,Veysel,Large
10201,49,100,4,8065.89,37956,Shipped,4,12,2003,Motorcycles,193,S10_4698,Furniture,Bookshelf,Mini Wheels Co.,6505555787,5557 North Pendale Street,,San Francisco,CA,,USA,NA,Murphy,Julie,Large
10210,34,100,1,6123.4,37998,Shipped,1,1,2004,Motorcycles,193,S10_4698,Furniture,Bookshelf,Osaka Souveniers Co.,+81 06 6342 5555,"Dojima Avanza 4F, 1-6-20 Dojima, Kita-ku",,Osaka,Osaka,530-0003,Japan,Japan,Kentary,Mory,Medium
10223,49,100,3,9774.03,38037,Shipped,1,2,2004,Motorcycles,193,S10_4698,Furniture,Bookshelf,"Australian Collectors, Co.",03 9520 4555,636 St Kilda Road,Level 3,Melbourne,Victoria,3004,Australia,APAC,Ferguson,Peter,Large
10237,39,100,9,7023.9,38082,Shipped,2,4,2004,Motorcycles,193,S10_4698,Furniture,Bookshelf,Vitachrome Inc.,2125551500,2678 Kingston Rd.,Suite 101,NYC,NY,10022,USA,NA,Frick,Michael,Large
10251,43,100,4,7078.23,38125,Shipped,2,5,2004,Motorcycles,193,S10_4698,Furniture,Bookshelf,Tekni Collectables Inc.,2015559350,7476 Moss Rd.,,Newark,NJ,94019,USA,NA,Brown,William,Large
10263,41,100,4,8336.94,38166,Shipped,2,6,2004,Motorcycles,193,S10_4698,Furniture,Bookshelf,Gift Depot Inc.,2035552570,25593 South Bay Ln.,,Bridgewater,CT,97562,USA,NA,King,Julie,Large
10275,36,100,3,6901.92,38191,Shipped,3,7,2004,Motorcycles,193,S10_4698,Furniture,Bookshelf,La Rochelle Gifts,40.67.8555,"67, rue des Cinquante Otages",,Nantes,,44000,France,EMEA,Labrune,Janine,Medium
10285,27,100,8,5438.07,38226,Shipped,3,8,2004,Motorcycles,193,S10_4698,Furniture,Bookshelf,Marta's Replicas Co.,6175558555,39323 Spinnaker Dr.,,Cambridge,MA,51247,USA,NA,Hernandez,Marta,Medium
10299,29,100,11,6683.34,38260,Shipped,3,9,2004,Motorcycles,193,S10_4698,Furniture,Bookshelf,"Toys of Finland, Co.",90-224 8555,Keskuskatu 45,,Helsinki,,21240,Finland,EMEA,Karttunen,Matti,Medium
10308,20,100,1,4570.4,38275,Shipped,4,10,2004,Motorcycles,193,S10_4698,Furniture,Bookshelf,Mini Classics,9145554562,3758 North Pendale Street,,White Plains,NY,24067,USA,NA,Frick,Steve,Medium
10318,37,100,3,7667.14,38293,Shipped,4,11,2004,Motorcycles,193,S10_4698,Furniture,Bookshelf,Diecast Classics Inc.,2155551555,7586 Pompton St.,,Allentown,PA,70267,USA,NA,Yu,Kyung,Large
10329,26,100,3,5868.2,38306,Shipped,4,11,2004,Motorcycles,193,S10_4698,Furniture,Bookshelf,Land of Toys Inc.,2125557818,897 Long Airport Avenue,,NYC,NY,10022,USA,NA,Yu,Kwai,Medium
10339,39,76.67,3,2990.13,38314,Shipped,4,11,2004,Motorcycles,193,S10_4698,Furniture,Bookshelf,"Tokyo Collectables, Ltd",+81 3 3584 0555,2-2-8 Roppongi,,Minato-ku,Tokyo,106-0032,Japan,Japan,Shimamura,Akiko,Small
10362,22,100,4,3664.1,38357,Shipped,1,1,2005,Motorcycles,193,S10_4698,Furniture,Bookshelf,Technics Stores Inc.,6505556809,9408 Furth Circle,,Burlingame,CA,94217,USA,NA,Hirano,Juri,Medium
10374,22,100,1,3834.38,38385,Shipped,1,2,2005,Motorcycles,193,S10_4698,Furniture,Bookshelf,"Australian Gift Network, Co",61-7-3844-6555,31 Duncan St. West End,,South Brisbane,Queensland,4101,Australia,APAC,Calaghan,Tony,Medium
10388,21,86.77,7,1822.17,38414,Shipped,1,3,2005,Motorcycles,193,S10_4698,Furniture,Bookshelf,FunGiftIdeas.com,5085552555,1785 First Street,,New Bedford,MA,50553,USA,NA,Benitez,Violeta,Small
10403,66,100,9,11886.6,38450,Shipped,2,4,2005,Motorcycles,193,S10_4698,Furniture,Bookshelf,"UK Collectables, Ltd.",(171) 555-2282,Berkeley Gardens 12  Brewery,,Liverpool,,WX1 6LT,UK,EMEA,Devon,Elizabeth,Large
10417,56,100,4,9218.16,38485,Disputed,2,5,2005,Motorcycles,193,S10_4698,Furniture,Bookshelf,Euro Shopping Channel,(91) 555 94 44,"C/ Moralzarzal, 86",,Madrid,,28034,Spain,EMEA,Freyre,Diego,Large
10105,50,100,2,7208,37663,Shipped,1,2,2003,Classic Cars,136,S10_4757,Furniture,Desk,Danish Wholesale Imports,31 12 3555,Vinb'ltet 34,,Kobenhavn,,1734,Denmark,EMEA,Petersen,Jytte,Large
10119,46,100,11,5004.8,37739,Shipped,2,4,2003,Classic Cars,136,S10_4757,Furniture,Desk,Salzburg Collectables,6562-9555,Geislweg 14,,Salzburg,,5020,Austria,EMEA,Pipps,Georg,Medium
10129,33,100,2,4398.24,37784,Shipped,2,6,2003,Classic Cars,136,S10_4757,Furniture,Desk,"Stylish Desk Decors, Co.",(171) 555-0297,35 King George,,London,,WX3 6FW,UK,EMEA,Brown,Ann,Medium
10143,49,100,15,5597.76,37843,Shipped,3,8,2003,Classic Cars,136,S10_4757,Furniture,Desk,Mini Creations Ltd.,5085559555,4575 Hillside Dr.,,New Bedford,MA,50553,USA,NA,Tam,Wing C,Medium
10155,32,100,13,4526.08,37900,Shipped,4,10,2003,Classic Cars,136,S10_4757,Furniture,Desk,"Toys of Finland, Co.",90-224 8555,Keskuskatu 45,,Helsinki,,21240,Finland,EMEA,Karttunen,Matti,Medium
10167,44,100,9,5924.16,37917,Cancelled,4,10,2003,Classic Cars,136,S10_4757,Furniture,Desk,Scandinavian Gift Ideas,0695-34 6555,?kergatan 24,,Boras,,S-844 67,Sweden,EMEA,Larsson,Maria,Medium
10178,24,100,12,3492.48,37933,Shipped,4,11,2003,Classic Cars,136,S10_4757,Furniture,Desk,Alpha Cognac,61.77.6555,1 rue Alsace-Lorraine,,Toulouse,,31000,France,EMEA,Roulet,Annette,Medium
10186,26,100,9,3854.24,37939,Shipped,4,11,2003,Classic Cars,136,S10_4757,Furniture,Desk,"Double Decker Gift Stores, Ltd",(171) 555-7555,120 Hanover Sq.,,London,,WA1 1DP,UK,EMEA,Hardy,Thomas,Medium
